fold,fit_train_start_x,fit_train_end_x,validation_start_x,validation_end_x,test_start,test_end,fit_train_rows_x,validation_rows_x,test_rows_x,BTC_auc,BTC_threshold_mode,BTC_raw_short_threshold,BTC_raw_long_threshold,BTC_short_threshold_was_extreme,BTC_long_threshold_was_extreme,BTC_adjusted_threshold,BTC_adjusted_short_threshold,BTC_adjusted_long_threshold,BTC_threshold,BTC_short_threshold,BTC_long_threshold,BTC_threshold_ema_alpha,BTC_validation_probability_min,BTC_validation_probability_max,BTC_validation_threshold_sharpe,BTC_validation_threshold_pnl,BTC_validation_threshold_trades,BTC_validation_threshold_trade_fraction,BTC_validation_threshold_win_rate,BTC_validation_threshold_tie_trades,BTC_validation_threshold_tie_trade_fraction,BTC_fit_weight_min,BTC_fit_weight_mean,BTC_fit_weight_max,BTC_fit_weight_effective_rows,BTC_test_trades,BTC_test_trade_fraction,BTC_test_tie_trades,BTC_test_tie_trade_fraction,BTC_win_rate,BTC_pnl,BTC_test_sharpe,BTC_best_iteration,BTC_model_path,fit_train_start_y,fit_train_end_y,validation_start_y,validation_end_y,fit_train_rows_y,validation_rows_y,test_rows_y,ETH_auc,ETH_threshold_mode,ETH_raw_short_threshold,ETH_raw_long_threshold,ETH_short_threshold_was_extreme,ETH_long_threshold_was_extreme,ETH_adjusted_threshold,ETH_adjusted_short_threshold,ETH_adjusted_long_threshold,ETH_threshold,ETH_short_threshold,ETH_long_threshold,ETH_threshold_ema_alpha,ETH_validation_probability_min,ETH_validation_probability_max,ETH_validation_threshold_sharpe,ETH_validation_threshold_pnl,ETH_validation_threshold_trades,ETH_validation_threshold_trade_fraction,ETH_validation_threshold_win_rate,ETH_validation_threshold_tie_trades,ETH_validation_threshold_tie_trade_fraction,ETH_fit_weight_min,ETH_fit_weight_mean,ETH_fit_weight_max,ETH_fit_weight_effective_rows,ETH_test_trades,ETH_test_trade_fraction,ETH_test_tie_trades,ETH_test_tie_trade_fraction,ETH_win_rate,ETH_pnl,ETH_test_sharpe,ETH_best_iteration,ETH_model_path
0,2022-01-01T04:30:00+00:00,2022-11-02T04:00:00+00:00,2022-11-02T04:30:00+00:00,2023-01-01T04:00:00+00:00,2023-01-01T04:30:00+00:00,2023-01-31T04:00:00+00:00,14638,2880,1440,0.5794218762998691,double,0.41,0.61,False,False,0.51,0.41,0.61,0.51,0.41,0.61,0.7,0.3104569211098442,0.6942271902882382,11.47959337120161,94.8,546,0.1895833333333333,0.652014652014652,0,0.0,0.7382194043270471,1.0000000000000002,1.317388558598281,14240.01973127904,236,0.1638888888888889,0,0.0,0.635593220338983,34.0,8.807204995136692,282,results/btc_eth_external_30m/models/fold_000_BTC.txt,2022-01-01T04:30:00+00:00,2022-11-02T04:00:00+00:00,2022-11-02T04:30:00+00:00,2023-01-01T04:00:00+00:00,14638,2880,1439,0.5599870039669028,double,0.45,0.5700000000000001,False,False,0.51,0.45,0.5700000000000001,0.51,0.45,0.5700000000000001,0.7,0.3249378976893166,0.7027777661867388,10.14630513411671,123.30000000000004,1161,0.403125,0.6146551724137931,1,0.0003472222222222,0.7382599997501111,1.0,1.3174610031121512,14232.319868190893,626,0.4350243224461431,0,0.0,0.547923322683706,-8.599999999999994,-1.3382266866517438,168,results/eth_btc_external_30m/models/fold_000_ETH.txt
1,2022-01-01T04:30:00+00:00,2022-12-02T04:00:00+00:00,2022-12-02T04:30:00+00:00,2023-01-31T04:00:00+00:00,2023-01-31T04:30:00+00:00,2023-03-02T04:00:00+00:00,16078,2880,1440,0.5491073065927469,double,0.39,0.6,False,False,0.495,0.39,0.6,0.4995,0.396,0.603,0.7,0.266247906992162,0.71726363783552,10.871448411099603,74.60000000000002,379,0.1315972222222222,0.6649076517150396,0,0.0,0.7154269740249544,0.9999999999999998,1.3515618750268703,15554.787520465865,213,0.1479166666666666,0,0.0,0.5821596244131455,10.200000000000006,2.741630201363735,343,results/btc_eth_external_30m/models/fold_001_BTC.txt,2022-01-01T04:30:00+00:00,2022-12-02T04:00:00+00:00,2022-12-02T04:30:00+00:00,2023-01-31T04:00:00+00:00,16078,2879,1440,0.5550665637661586,double,0.0,0.56,True,False,0.4688739579663139,0.3777479159326277,0.56,0.4812117705764197,0.3994235411528394,0.5630000000000001,0.7,0.3777479159326277,0.6257589751536776,8.12606038879332,50.80000000000001,311,0.1080236193122612,0.6463022508038585,0,0.0,0.7154934018816966,1.0,1.3516873684201478,15544.267835176148,153,0.10625,0,0.0,0.5816993464052288,7.200000000000001,2.283027800374521,73,results/eth_btc_external_30m/models/fold_001_ETH.txt
2,2022-01-01T04:30:00+00:00,2023-01-01T04:00:00+00:00,2023-01-01T04:30:00+00:00,2023-03-02T04:00:00+00:00,2023-03-02T04:30:00+00:00,2023-04-01T04:00:00+00:00,17518,2880,1430,0.5466516420462437,double,0.41,0.59,False,False,0.5,0.41,0.59,0.49985,0.4058,0.5939,0.7,0.36774382061586,0.6445078535013031,9.306742712022649,51.2,244,0.0847222222222222,0.6721311475409836,0,0.0,0.6931555879025086,1.0,1.3862563299902542,16846.718477882223,59,0.0412587412587412,0,0.0,0.559322033898305,0.4000000000000017,0.2038942572539359,134,results/btc_eth_external_30m/models/fold_002_BTC.txt,2022-01-01T04:30:00+00:00,2023-01-01T04:00:00+00:00,2023-01-01T04:30:00+00:00,2023-03-02T04:00:00+00:00,17518,2879,1430,0.5688971280602637,double,0.0,0.56,True,False,0.4651343363161983,0.3702686726323966,0.56,0.4699575665942647,0.3790151331885294,0.5609000000000001,0.7,0.3702686726323966,0.6182802711859047,5.95327699193246,37.7,316,0.1097603334491142,0.6222222222222222,1,0.0003473428273706,0.6932137809623283,1.0,1.386372711505378,16835.200605958093,129,0.0902097902097902,0,0.0,0.5658914728682171,2.400000000000003,0.8285894119054396,66,results/eth_btc_external_30m/models/fold_002_ETH.txt
3,2022-01-01T04:30:00+00:00,2023-01-31T04:00:00+00:00,2023-01-31T04:30:00+00:00,2023-04-01T04:00:00+00:00,2023-04-01T04:30:00+00:00,2023-05-01T04:00:00+00:00,18958,2870,1440,0.5996985332483042,double,0.45,0.62,False,False,0.535,0.45,0.62,0.524455,0.43674,0.61217,0.7,0.4095087187030618,0.6274331385939126,6.095577188477907,37.20000000000001,294,0.1024390243902439,0.6258503401360545,0,0.0,0.6714009994027575,1.0,1.4214676761624765,18114.36244335588,61,0.0423611111111111,0,0.0,0.5573770491803278,0.200000000000001,0.0998695807413498,98,results/btc_eth_external_30m/models/fold_003_BTC.txt,2022-01-01T04:30:00+00:00,2023-01-31T04:00:00+00:00,2023-01-31T04:30:00+00:00,2023-04-01T04:00:00+00:00,18957,2870,1440,0.5687978361088684,double,0.44,0.59,False,False,0.515,0.44,0.59,0.5014872699782794,0.4217045399565588,0.58127,0.7,0.3751391337878043,0.629027303964875,5.244419543860312,36.000000000000014,369,0.1285714285714285,0.6097560975609756,0,0.0,0.6714890372660328,1.0,1.4216540669736837,18099.114140899608,130,0.0902777777777777,0,0.0,0.6923076923076923,32.0,11.335689627332656,80,results/eth_btc_external_30m/models/fold_003_ETH.txt
4,2022-01-01T04:30:00+00:00,2023-03-02T04:00:00+00:00,2023-03-02T04:30:00+00:00,2023-05-01T04:00:00+00:00,2023-05-01T04:30:00+00:00,2023-05-31T04:00:00+00:00,20398,2870,1440,0.584375,double,0.42,0.61,False,False,0.515,0.42,0.61,0.5178365,0.425022,0.610651,0.7,0.3301367594856909,0.683882783982903,7.768719871298641,53.40000000000001,375,0.1306620209059233,0.6346666666666667,0,0.0,0.6501587700792401,1.0000000000000004,1.457191474293324,19356.40048618808,237,0.1645833333333333,0,0.0,0.6118143459915611,24.000000000000007,6.16262496774961,270,results/btc_eth_external_30m/models/fold_004_BTC.txt,2022-01-01T04:30:00+00:00,2023-03-02T04:00:00+00:00,2023-03-02T04:30:00+00:00,2023-05-01T04:00:00+00:00,20397,2870,1440,0.5792849546255541,double,0.45,0.62,False,False,0.535,0.45,0.62,0.5249461809934839,0.4415113619869676,0.6083810000000001,0.7,0.3641796326295031,0.6587824531052275,4.966037620764293,38.80000000000001,476,0.1658536585365853,0.6008403361344538,0,0.0,0.6502193384211828,1.0,1.4573272252445575,19340.99654232614,224,0.1555555555555555,0,0.0,0.6339285714285714,31.60000000000001,8.396966473638592,97,results/eth_btc_external_30m/models/fold_004_ETH.txt
5,2022-01-01T04:30:00+00:00,2023-04-01T04:00:00+00:00,2023-04-01T04:30:00+00:00,2023-05-31T04:00:00+00:00,2023-05-31T04:30:00+00:00,2023-06-30T04:00:00+00:00,21828,2880,1440,0.5794350147314478,double,0.41,0.59,False,False,0.5,0.41,0.59,0.50535095,0.4145066,0.5961953,0.7,0.2896150156153638,0.6918765473870903,10.091965092619038,79.80000000000001,498,0.1729166666666666,0.6445783132530121,0,0.0,0.629560403055375,1.0,1.493746128222039,20563.14531923462,259,0.1798611111111111,0,0.0,0.6216216216216216,30.800000000000004,7.586774252743747,320,results/btc_eth_external_30m/models/fold_005_BTC.txt,2022-01-01T04:30:00+00:00,2023-04-01T04:00:00+00:00,2023-04-01T04:30:00+00:00,2023-05-31T04:00:00+00:00,21827,2880,1440,0.5710511158272352,double,0.41,0.58,False,False,0.495,0.41,0.58,0.5039838542980452,0.4194534085960902,0.5885143,0.7,0.35284601215329,0.6558095381350949,9.569123770064374,70.30000000000001,431,0.1496527777777777,0.6465116279069767,1,0.0003472222222222,0.6296255816427151,1.0,1.4939007762304108,20545.93397333063,231,0.1604166666666666,0,0.0,0.6363636363636364,33.6,8.798826708283833,115,results/eth_btc_external_30m/models/fold_005_ETH.txt
6,2022-01-01T04:30:00+00:00,2023-05-01T04:00:00+00:00,2023-05-01T04:30:00+00:00,2023-06-30T04:00:00+00:00,2023-06-30T04:30:00+00:00,2023-07-30T04:00:00+00:00,23268,2880,1440,0.5614858581944983,double,0.42,0.6,False,False,0.51,0.42,0.6,0.508605285,0.41835198,0.59885859,0.7,0.3557451688615639,0.6715187946295733,9.730505702544376,64.60000000000001,353,0.1225694444444444,0.6572237960339944,0,0.0,0.6093154959298889,1.0,1.5304664102193466,21749.28196122298,209,0.1451388888888889,1,0.0006944444444444,0.6153846153846154,22.3,6.117017948923339,173,results/btc_eth_external_30m/models/fold_006_BTC.txt,2022-01-01T04:30:00+00:00,2023-05-01T04:00:00+00:00,2023-05-01T04:30:00+00:00,2023-06-30T04:00:00+00:00,23267,2880,1440,0.5509167655982061,double,0.38,0.64,False,False,0.51,0.38,0.64,0.5081951562894135,0.391836022578827,0.62455429,0.7,0.315113422079886,0.704916098074929,9.900982577849764,41.4,144,0.05,0.7152777777777778,0,0.0,0.6093710031627954,1.0,1.5306058321707905,21731.12402390506,155,0.1076388888888889,2,0.0013888888888888,0.5816993464052288,7.000000000000004,2.2194087343089337,196,results/eth_btc_external_30m/models/fold_006_ETH.txt
7,2022-01-01T04:30:00+00:00,2023-05-31T04:00:00+00:00,2023-05-31T04:30:00+00:00,2023-07-30T04:00:00+00:00,2023-07-30T04:30:00+00:00,2023-08-29T04:00:00+00:00,24708,2880,1433,0.5554714545561228,double,0.4,0.65,False,False,0.525,0.4,0.65,0.5200815855,0.4055055939999999,0.634657577,0.7,0.3344461765851901,0.7030221505104508,7.593310747764574,34.60000000000001,167,0.0579861111111111,0.6706586826347305,0,0.0,0.5895584453321815,1.0,1.5676555186612422,22907.5722155936,178,0.1242149337055129,1,0.0006978367062107,0.5988700564971752,13.700000000000008,4.0657898366586425,212,results/btc_eth_external_30m/models/fold_007_BTC.txt,2022-01-01T04:30:00+00:00,2023-05-31T04:00:00+00:00,2023-05-31T04:30:00+00:00,2023-07-30T04:00:00+00:00,24707,2880,1439,0.5625291022536785,double,0.4,0.61,False,False,0.505,0.4,0.61,0.505958546886824,0.397550806773648,0.614366287,0.7,0.3311885549450393,0.6727216123887143,7.825149870913279,46.500000000000014,282,0.0979166666666666,0.6476868327402135,1,0.0003472222222222,0.5896435624064976,1.0,1.567881847793393,22886.03186613765,179,0.1243919388464211,1,0.0006949270326615,0.5955056179775281,12.700000000000005,3.747419317050694,112,results/eth_btc_external_30m/models/fold_007_ETH.txt
8,2022-01-01T04:30:00+00:00,2023-06-30T04:00:00+00:00,2023-06-30T04:30:00+00:00,2023-08-29T04:00:00+00:00,2023-08-29T04:30:00+00:00,2023-09-28T04:00:00+00:00,26148,2873,1439,0.5825556907977357,double,0.43,0.63,False,False,0.53,0.43,0.63,0.52702447565,0.4226516782,0.6313972730999999,0.7,0.397505825941285,0.635390499635813,10.590779640658964,57.2,238,0.0828402366863905,0.6890756302521008,0,0.0,0.5702974111152,1.0,1.6053412388712036,24036.399988121146,48,0.0333564975677553,0,0.0,0.6666666666666666,9.6,5.548953405427016,118,results/btc_eth_external_30m/models/fold_008_BTC.txt,2022-01-01T04:30:00+00:00,2023-06-30T04:00:00+00:00,2023-06-30T04:30:00+00:00,2023-08-29T04:00:00+00:00,26147,2879,1439,0.5909044987915666,double,0.41,0.6,False,False,0.505,0.41,0.6,0.5052875640660472,0.4062652420320944,0.6043098861,0.7,0.3327005191663982,0.662251194347225,7.760048888149228,54.500000000000014,391,0.1358110455019104,0.6333333333333333,1,0.0003473428273706,0.5703678281057999,1.0000000000000002,1.605539457023213,24013.81823680451,170,0.1181375955524669,1,0.0006949270326615,0.6568047337278107,30.700000000000003,9.450394866110022,116,results/eth_btc_external_30m/models/fold_008_ETH.txt
9,2022-01-01T04:30:00+00:00,2023-07-30T04:00:00+00:00,2023-07-30T04:30:00+00:00,2023-09-28T04:00:00+00:00,2023-09-28T04:30:00+00:00,2023-10-28T04:00:00+00:00,27588,2872,1439,0.5787828666387116,double,0.43,0.5700000000000001,False,False,0.5,0.43,0.5700000000000001,0.508107342695,0.42779550346,0.58841918193,0.7,0.3716287974560724,0.6526820648036734,8.510015020059706,82.50000000000003,741,0.258008356545961,0.6175675675675676,1,0.0003481894150417,0.5515635493588997,1.0,1.6436286817755843,25132.801472257124,244,0.1695621959694232,0,0.0,0.5901639344262295,15.200000000000005,3.826302507322956,156,results/btc_eth_external_30m/models/fold_009_BTC.txt,2022-01-01T04:30:00+00:00,2023-07-30T04:00:00+00:00,2023-07-30T04:30:00+00:00,2023-09-28T04:00:00+00:00,27587,2878,1440,0.5664554258599132,double,0.46,0.61,False,False,0.535,0.46,0.61,0.5260862692198142,0.4438795726096283,0.60829296583,0.7,0.2999015997741224,0.71095400096676,11.034796612147584,127.10000000000002,1051,0.3651841556636553,0.6230916030534351,3,0.0010423905489923,0.5516187257734999,1.0,1.6437931044204452,25109.13036427322,416,0.2888888888888888,0,0.0,0.5649038461538461,7.000000000000007,1.3408464340535713,203,results/eth_btc_external_30m/models/fold_009_ETH.txt
