fold,fit_train_start_x,fit_train_end_x,validation_start_x,validation_end_x,test_start,test_end,fit_train_rows_x,validation_rows_x,test_rows_x,BTC_auc,BTC_threshold_mode,BTC_raw_short_threshold,BTC_raw_long_threshold,BTC_short_threshold_was_extreme,BTC_long_threshold_was_extreme,BTC_adjusted_threshold,BTC_adjusted_short_threshold,BTC_adjusted_long_threshold,BTC_threshold,BTC_short_threshold,BTC_long_threshold,BTC_threshold_ema_alpha,BTC_validation_probability_min,BTC_validation_probability_max,BTC_validation_threshold_sharpe,BTC_validation_threshold_pnl,BTC_validation_threshold_trades,BTC_validation_threshold_trade_fraction,BTC_validation_threshold_win_rate,BTC_validation_threshold_tie_trades,BTC_validation_threshold_tie_trade_fraction,BTC_fit_weight_min,BTC_fit_weight_mean,BTC_fit_weight_max,BTC_fit_weight_effective_rows,BTC_test_trades,BTC_test_trade_fraction,BTC_test_tie_trades,BTC_test_tie_trade_fraction,BTC_win_rate,BTC_pnl,BTC_test_sharpe,BTC_best_iteration,BTC_model_path,fit_train_start_y,fit_train_end_y,validation_start_y,validation_end_y,fit_train_rows_y,validation_rows_y,test_rows_y,ETH_auc,ETH_threshold_mode,ETH_raw_short_threshold,ETH_raw_long_threshold,ETH_short_threshold_was_extreme,ETH_long_threshold_was_extreme,ETH_adjusted_threshold,ETH_adjusted_short_threshold,ETH_adjusted_long_threshold,ETH_threshold,ETH_short_threshold,ETH_long_threshold,ETH_threshold_ema_alpha,ETH_validation_probability_min,ETH_validation_probability_max,ETH_validation_threshold_sharpe,ETH_validation_threshold_pnl,ETH_validation_threshold_trades,ETH_validation_threshold_trade_fraction,ETH_validation_threshold_win_rate,ETH_validation_threshold_tie_trades,ETH_validation_threshold_tie_trade_fraction,ETH_fit_weight_min,ETH_fit_weight_mean,ETH_fit_weight_max,ETH_fit_weight_effective_rows,ETH_test_trades,ETH_test_trade_fraction,ETH_test_tie_trades,ETH_test_tie_trade_fraction,ETH_win_rate,ETH_pnl,ETH_test_sharpe,ETH_best_iteration,ETH_model_path
0,2022-01-01T04:05:00+00:00,2022-11-02T04:00:00+00:00,2022-11-02T04:05:00+00:00,2023-01-01T04:00:00+00:00,2023-01-01T04:05:00+00:00,2023-01-31T04:00:00+00:00,87827,17280,8640,0.5597741000539747,double,0.44,0.55,False,False,0.495,0.44,0.55,0.495,0.44,0.55,0.7,0.3640405684124663,0.6386164426752914,15.488476302873853,329.9000000000001,3541,0.2049189814814815,0.6073446327683616,1,5.787037037037037e-05,0.7381949272730906,1.0,1.3173883107939428,85426.58104465064,1616,0.187037037037037,0,0.0,0.5971534653465347,121.00000000000004,11.856975991521711,129,results/btc_eth_external_5m/models/fold_000_BTC.txt,2022-01-01T04:05:00+00:00,2022-11-02T04:00:00+00:00,2022-11-02T04:05:00+00:00,2023-01-01T04:00:00+00:00,87827,17279,8637,0.5506582449264247,double,0.45,0.56,False,False,0.505,0.45,0.56,0.505,0.45,0.56,0.7,0.30853938005635,0.6949426707906566,14.466597787507482,354.8000000000001,4696,0.2717749869784131,0.5980308219178082,24,0.0013889692690549,0.7382554553581601,1.0,1.317496329677302,85330.8726897807,2403,0.2782216047238624,13,0.0015051522519393,0.5774058577405857,92.70000000000005,7.433901280165852,686,results/eth_btc_external_5m/models/fold_000_ETH.txt
1,2022-01-01T04:05:00+00:00,2022-12-02T04:00:00+00:00,2022-12-02T04:05:00+00:00,2023-01-31T04:00:00+00:00,2023-01-31T04:05:00+00:00,2023-03-02T04:00:00+00:00,96467,17280,8640,0.5423764881191674,double,0.42,0.58,False,False,0.5,0.42,0.58,0.4985,0.426,0.571,0.7,0.3339991470168909,0.6423138197928402,14.055672516333058,192.10000000000005,1472,0.0851851851851851,0.628144119646499,1,5.787037037037037e-05,0.7154039320002347,1.0,1.351562904154942,93314.383987287,1198,0.1386574074074074,0,0.0,0.5517529215358932,-8.199999999999973,-0.92306358677829,164,results/btc_eth_external_5m/models/fold_001_BTC.txt,2022-01-01T04:05:00+00:00,2022-12-02T04:00:00+00:00,2022-12-02T04:05:00+00:00,2023-01-31T04:00:00+00:00,96467,17276,8640,0.5519846571601084,double,0.4,0.5700000000000001,False,False,0.485,0.4,0.5700000000000001,0.491,0.415,0.5670000000000001,0.7,0.3523626905517748,0.6516933129635697,10.721326400077135,147.80000000000004,1492,0.0863625839314656,0.6111859838274932,8,0.0004630701551285,0.7154685449759769,1.0,1.3516849729572422,93204.42460067171,817,0.0945601851851851,0,0.0,0.594859241126071,57.800000000000026,7.958629424806837,329,results/eth_btc_external_5m/models/fold_001_ETH.txt
2,2022-01-01T04:05:00+00:00,2023-01-01T04:00:00+00:00,2023-01-01T04:05:00+00:00,2023-03-02T04:00:00+00:00,2023-03-02T04:05:00+00:00,2023-04-01T04:00:00+00:00,105107,17280,8585,0.5656170229671249,double,0.45,0.58,False,False,0.515,0.45,0.58,0.51005,0.4428,0.5772999999999999,0.7,0.3448131937219342,0.640592801220502,9.301827649251168,203.8000000000001,3704,0.2143518518518518,0.5861231101511879,0,0.0,0.6931450904602033,1.0,1.3862810399390302,101060.60517137487,1356,0.1579499126383226,0,0.0,0.6047197640117994,120.00000000000004,12.901949808316903,167,results/btc_eth_external_5m/models/fold_002_BTC.txt,2022-01-01T04:05:00+00:00,2023-01-01T04:00:00+00:00,2023-01-01T04:05:00+00:00,2023-03-02T04:00:00+00:00,105106,17277,8585,0.563640632696492,double,0.0,0.56,True,False,0.447697674476582,0.335395348953164,0.56,0.4606883721336074,0.3592767442672148,0.5621,0.7,0.335395348953164,0.660722076217994,10.399861269952314,160.70000000000005,1867,0.1080627423742547,0.6038751345532831,9,0.0005209237714881,0.6933092792791371,0.9999999999999998,1.3866094154116266,100899.39823382485,792,0.0922539312754804,1,0.0001164822364589,0.6257901390644753,99.90000000000002,14.133903266949956,456,results/eth_btc_external_5m/models/fold_002_ETH.txt
3,2022-01-01T04:05:00+00:00,2023-01-31T04:00:00+00:00,2023-01-31T04:05:00+00:00,2023-04-01T04:00:00+00:00,2023-04-01T04:05:00+00:00,2023-05-01T04:00:00+00:00,113747,17225,8640,0.5548560521738868,double,0.45,0.6,False,False,0.525,0.45,0.6,0.5205150000000001,0.44784,0.59319,0.7,0.3574388436886425,0.6608621065033866,10.462728020384766,187.00000000000009,2486,0.1443251088534107,0.5973451327433629,0,0.0,0.6713892286549134,1.0,1.4214896203168748,108665.56790648973,1166,0.1349537037037037,2,0.0002314814814814,0.5945017182130584,81.40000000000003,9.390319230134056,148,results/btc_eth_external_5m/models/fold_003_BTC.txt,2022-01-01T04:05:00+00:00,2023-01-31T04:00:00+00:00,2023-01-31T04:05:00+00:00,2023-04-01T04:00:00+00:00,113743,17225,8640,0.5635669559906272,double,0.41,0.56,False,False,0.485,0.41,0.56,0.4777065116400822,0.3947830232801644,0.5606300000000001,0.7,0.3459071028201851,0.6716428484461547,9.761733404283191,168.50000000000006,2320,0.1346879535558781,0.5960293482952094,3,0.0001741654571843,0.6716147508573657,1.0,1.4219671041016222,108454.64973069336,1046,0.1210648148148148,2,0.0002314814814814,0.5890804597701149,62.800000000000026,7.639082642495098,422,results/eth_btc_external_5m/models/fold_003_ETH.txt
4,2022-01-01T04:05:00+00:00,2023-03-02T04:00:00+00:00,2023-03-02T04:05:00+00:00,2023-05-01T04:00:00+00:00,2023-05-01T04:05:00+00:00,2023-05-31T04:00:00+00:00,122387,17225,8640,0.5576383474885458,double,0.42,0.58,False,False,0.5,0.42,0.58,0.5061545000000001,0.428352,0.5839570000000001,0.7,0.3303120194978266,0.6672848633564631,13.712813080764567,220.50000000000009,2034,0.1180841799709724,0.6159527326440177,3,0.0001741654571843,0.6501461279591375,0.9999999999999998,1.4572111821753224,116116.9449400756,1087,0.1258101851851852,0,0.0,0.6053357865685373,97.40000000000003,11.658969246597476,240,results/btc_eth_external_5m/models/fold_004_BTC.txt,2022-01-01T04:05:00+00:00,2023-03-02T04:00:00+00:00,2023-03-02T04:05:00+00:00,2023-05-01T04:00:00+00:00,122383,17225,8640,0.5636587249640712,double,0.44,0.54,False,False,0.49,0.44,0.54,0.4863119534920247,0.4264349069840493,0.546189,0.7,0.3698426315370175,0.6866985492722353,11.38925085608176,287.10000000000014,4932,0.2863280116110305,0.5880203045685279,7,0.0004063860667634,0.6503313659621582,1.0,1.4576263671279932,115892.8774253233,2125,0.245949074074074,11,0.0012731481481481,0.5761589403973509,77.30000000000005,6.587805111112945,450,results/eth_btc_external_5m/models/fold_004_ETH.txt
5,2022-01-01T04:05:00+00:00,2023-04-01T04:00:00+00:00,2023-04-01T04:05:00+00:00,2023-05-31T04:00:00+00:00,2023-05-31T04:05:00+00:00,2023-06-30T04:00:00+00:00,130972,17280,8640,0.5546515899994074,double,0.45,0.5700000000000001,False,False,0.51,0.45,0.5700000000000001,0.50884635,0.4435056,0.5741871000000001,0.7,0.3565100690232419,0.6258020468775966,13.78288771782915,277.4000000000001,3157,0.1826967592592592,0.6044374009508716,2,0.0001157407407407,0.6295334866059277,1.0,1.4937315105829891,123361.69573141423,1323,0.153125,1,0.0001157407407407,0.6036308623298033,114.30000000000004,12.40254864121044,127,results/btc_eth_external_5m/models/fold_005_BTC.txt,2022-01-01T04:05:00+00:00,2023-04-01T04:00:00+00:00,2023-04-01T04:05:00+00:00,2023-05-31T04:00:00+00:00,130968,17280,8638,0.5414744863781743,double,0.43,0.6,False,False,0.515,0.43,0.6,0.5063935860476074,0.4289304720952148,0.5838567,0.7,0.3763326268237961,0.6720085978071842,11.162781706259851,155.70000000000005,1521,0.0880208333333333,0.6125,1,5.787037037037037e-05,0.6296903102360246,1.0000000000000002,1.4941036153285887,123123.47555783224,1188,0.137531836073165,8,0.000926140310257,0.5822033898305085,55.800000000000026,6.374470409815633,373,results/eth_btc_external_5m/models/fold_005_ETH.txt
6,2022-01-01T04:05:00+00:00,2023-05-01T04:00:00+00:00,2023-05-01T04:05:00+00:00,2023-06-30T04:00:00+00:00,2023-06-30T04:05:00+00:00,2023-07-30T04:00:00+00:00,139612,17280,8638,0.5505522494035822,double,0.43,0.59,False,False,0.51,0.43,0.59,0.509653905,0.43405168,0.58525613,0.7,0.3294010266055848,0.6630935973163095,16.900900156022864,273.70000000000005,2069,0.1197337962962963,0.629110251450677,1,5.787037037037037e-05,0.6093183284059476,1.0,1.530523984293279,130466.9615390632,1208,0.1398471868488076,7,0.0008103727714748,0.5895087427144047,72.70000000000003,8.247012188457731,176,results/btc_eth_external_5m/models/fold_006_BTC.txt,2022-01-01T04:05:00+00:00,2023-05-01T04:00:00+00:00,2023-05-01T04:05:00+00:00,2023-06-30T04:00:00+00:00,139608,17278,8639,0.5468329200461278,double,0.42,0.6,False,False,0.51,0.42,0.6,0.5089180758142822,0.4226791416285644,0.59515701,0.7,0.3571751479727144,0.6792527973015737,11.765714014465086,157.90000000000003,1418,0.0820696839912026,0.6180014174344437,7,0.0004051394837365,0.6094321377754837,1.0,1.5308098578040397,130222.87855675531,939,0.1086931357796041,8,0.0009260331056835,0.5714285714285714,25.800000000000026,3.3093402811742787,388,results/eth_btc_external_5m/models/fold_006_ETH.txt
7,2022-01-01T04:05:00+00:00,2023-05-31T04:00:00+00:00,2023-05-31T04:05:00+00:00,2023-07-30T04:00:00+00:00,2023-07-30T04:05:00+00:00,2023-08-29T04:00:00+00:00,148252,17278,8612,0.5427301473153132,double,0.41,0.58,False,False,0.495,0.41,0.58,0.4993961715,0.417215504,0.581576839,0.7,0.3197048594510235,0.683100615891008,14.139556233849603,229.8,2076,0.1201527954624377,0.6173913043478261,6,0.0003472624146313,0.589594216658894,1.0,1.5678023243480936,137401.66574532894,1063,0.1234324198792382,7,0.0008128193218764,0.5804924242424242,46.70000000000002,5.645514531132903,222,results/btc_eth_external_5m/models/fold_007_BTC.txt,2022-01-01T04:05:00+00:00,2023-05-31T04:00:00+00:00,2023-05-31T04:05:00+00:00,2023-07-30T04:00:00+00:00,148248,17277,8630,0.538935923910348,double,0.43,0.5700000000000001,False,False,0.5,0.43,0.5700000000000001,0.5026754227442847,0.4278037424885693,0.577547103,0.7,0.374352956657342,0.6690844862133428,10.174955547921993,198.70000000000005,2972,0.1720206054291833,0.5932949542837792,19,0.0010997279620304,0.5897009006870766,1.0,1.5680860100808054,137140.75590899025,1526,0.1768250289687138,47,0.0054461181923522,0.5713319810682894,37.300000000000026,3.7973612144928217,268,results/eth_btc_external_5m/models/fold_007_ETH.txt
8,2022-01-01T04:05:00+00:00,2023-06-30T04:00:00+00:00,2023-06-30T04:05:00+00:00,2023-08-29T04:00:00+00:00,2023-08-29T04:05:00+00:00,2023-09-28T04:00:00+00:00,156892,17250,8628,0.5411580579382609,double,0.42,0.61,False,False,0.515,0.42,0.61,0.51031885145,0.4191646512,0.6014730517,0.7,0.3134721849464066,0.6743811438260691,10.7793911808315,141.00000000000003,1344,0.0779130434782608,0.6141791044776119,4,0.000231884057971,0.5703686223987626,1.0,1.6055946273993575,144154.91000778435,791,0.0916782568382012,1,0.0001159017153453,0.589873417721519,48.70000000000002,6.81561256123959,167,results/btc_eth_external_5m/models/fold_008_BTC.txt,2022-01-01T04:05:00+00:00,2023-06-30T04:00:00+00:00,2023-06-30T04:05:00+00:00,2023-08-29T04:00:00+00:00,156886,17269,8634,0.5590795976143978,double,0.43,0.5700000000000001,False,False,0.5,0.43,0.5700000000000001,0.5008026268232855,0.4293411227465707,0.5722641309000001,0.7,0.3933744951351785,0.6257459390631764,9.11499218822598,117.00000000000004,1296,0.075047773466906,0.6066978193146417,12,0.0006948867913602,0.5704908423937995,1.0,1.6059386781757954,143868.5699327517,612,0.0708825573314801,6,0.0006949270326615,0.5792079207920792,25.20000000000001,4.014768249743966,154,results/eth_btc_external_5m/models/fold_008_ETH.txt
9,2022-01-01T04:05:00+00:00,2023-07-30T04:00:00+00:00,2023-07-30T04:05:00+00:00,2023-09-28T04:00:00+00:00,2023-09-28T04:05:00+00:00,2023-10-28T04:00:00+00:00,165530,17240,8638,0.5480078505635821,double,0.45,0.5700000000000001,False,False,0.51,0.45,0.5700000000000001,0.510095655435,0.44074939536,0.57944191551,0.7,0.2658194290605567,0.7318245415607754,10.247477060435225,294.9000000000001,6492,0.3765661252900232,0.582042859377444,99,0.0057424593967517,0.5517281485111069,1.0,1.6441733844892463,150689.43139757268,2472,0.2861773558694142,7,0.0008103727714748,0.563894523326572,36.30000000000006,2.856864321721716,457,results/btc_eth_external_5m/models/fold_009_BTC.txt,2022-01-01T04:05:00+00:00,2023-07-30T04:00:00+00:00,2023-07-30T04:05:00+00:00,2023-09-28T04:00:00+00:00,165525,17264,8640,0.5578772600868399,double,0.42,0.6,False,False,0.51,0.42,0.6,0.5072407880469856,0.4228023368239712,0.59167923927,0.7,0.3649060891604159,0.6497102004368195,8.534497021742354,92.40000000000002,930,0.0538693234476367,0.6124454148471615,14,0.0008109360518999,0.5517934037450908,1.0,1.6443678478661912,150404.38860791273,634,0.0733796296296296,3,0.0003472222222222,0.6228209191759112,76.10000000000002,12.004506633708768,249,results/eth_btc_external_5m/models/fold_009_ETH.txt
