fold,fit_train_start,fit_train_end,validation_start,validation_end,test_start,test_end,fit_train_rows,validation_rows,test_rows,BTC_auc,BTC_threshold_mode,BTC_raw_short_threshold,BTC_raw_long_threshold,BTC_short_threshold_was_extreme,BTC_long_threshold_was_extreme,BTC_adjusted_threshold,BTC_adjusted_short_threshold,BTC_adjusted_long_threshold,BTC_threshold,BTC_short_threshold,BTC_long_threshold,BTC_threshold_ema_alpha,BTC_validation_probability_min,BTC_validation_probability_max,BTC_validation_threshold_sharpe,BTC_validation_threshold_pnl,BTC_validation_threshold_trades,BTC_validation_threshold_trade_fraction,BTC_validation_threshold_win_rate,BTC_validation_threshold_tie_trades,BTC_validation_threshold_tie_trade_fraction,BTC_fit_weight_min,BTC_fit_weight_mean,BTC_fit_weight_max,BTC_fit_weight_effective_rows,BTC_test_trades,BTC_test_trade_fraction,BTC_test_tie_trades,BTC_test_tie_trade_fraction,BTC_win_rate,BTC_pnl,BTC_test_sharpe,BTC_best_iteration,BTC_model_path,ETH_auc,ETH_threshold_mode,ETH_raw_short_threshold,ETH_raw_long_threshold,ETH_short_threshold_was_extreme,ETH_long_threshold_was_extreme,ETH_adjusted_threshold,ETH_adjusted_short_threshold,ETH_adjusted_long_threshold,ETH_threshold,ETH_short_threshold,ETH_long_threshold,ETH_threshold_ema_alpha,ETH_validation_probability_min,ETH_validation_probability_max,ETH_validation_threshold_sharpe,ETH_validation_threshold_pnl,ETH_validation_threshold_trades,ETH_validation_threshold_trade_fraction,ETH_validation_threshold_win_rate,ETH_validation_threshold_tie_trades,ETH_validation_threshold_tie_trade_fraction,ETH_fit_weight_min,ETH_fit_weight_mean,ETH_fit_weight_max,ETH_fit_weight_effective_rows,ETH_test_trades,ETH_test_trade_fraction,ETH_test_tie_trades,ETH_test_tie_trade_fraction,ETH_win_rate,ETH_pnl,ETH_test_sharpe,ETH_best_iteration,ETH_model_path
10,2022-01-01T04:03:00+00:00,2023-08-29T04:00:00+00:00,2023-08-29T04:03:00+00:00,2023-10-28T04:00:00+00:00,2023-10-28T04:03:00+00:00,2023-11-27T04:00:00+00:00,289739,28581,14331,0.5472105032608456,double,0.34,0.61,False,False,0.475,0.34,0.61,0.4866516766045,0.362612637679,0.61069071553,0.7,0.15691962953120642,0.8384137865755356,22.973095614951923,341.40000000000003,1896,0.066337776844757,0.6653587443946188,112,0.0039186872397746755,0.5348380824510431,1.0,1.6872837811354722,260662.42735205864,360,0.02512036843207034,12,0.0008373456144023446,0.6551724137931034,61.2,13.125172762057215,384,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_010_BTC.txt,0.5303236718354191,double,0.42,0.56,False,False,0.49,0.42,0.56,0.4971605475625893,0.4229314735951785,0.5713896215300001,0.7,0.25764026548120944,0.8003444818710441,20.881421909469918,515.3000000000001,4927,0.17238725027115917,0.6164725457570716,119,0.004163605192260593,0.5348665934320125,1.0000000000000002,1.6873737263307604,260009.4639194134,1004,0.07005791640499616,4,0.0002791152048007815,0.564,14.800000000000024,1.8329489486914883,477,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_010_ETH.txt
11,2022-01-01T04:03:00+00:00,2023-09-28T04:00:00+00:00,2023-09-28T04:03:00+00:00,2023-11-27T04:00:00+00:00,2023-11-27T04:03:00+00:00,2023-12-27T04:00:00+00:00,303982,28669,14377,0.5388160295447355,double,0.4,0.63,False,False,0.515,0.4,0.63,0.50649550298135,0.3887837913037,0.624207214659,0.7,0.164005505034854,0.7927248040568098,18.43488391237247,278.5,1868,0.06515748718127594,0.6422674738580078,51,0.0017789249712232725,0.5173252011829415,1.0,1.7277131373520995,270595.45960023016,387,0.026917994018223552,7,0.0004868887806913821,0.6052631578947368,33.30000000000001,6.742839935617688,576,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_011_BTC.txt,0.5298214708853497,double,0.43,0.59,False,False,0.51,0.43,0.59,0.5061481642687768,0.42787944207855355,0.584416886459,0.7,0.31376104746336697,0.721708372957229,7.719995529135092,114.20000000000005,1729,0.06030904461264781,0.5937683715461494,28,0.0009766646900833654,0.5172076230246955,1.0,1.7273204610854056,270010.0769060401,487,0.033873548028100435,0,0.0,0.5687885010266941,11.600000000000005,2.057635824012252,294,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_011_ETH.txt
12,2022-01-01T04:03:00+00:00,2023-10-28T04:00:00+00:00,2023-10-28T04:03:00+00:00,2023-12-27T04:00:00+00:00,2023-12-27T04:03:00+00:00,2024-01-26T04:00:00+00:00,318320,28708,14392,0.5426061373409646,double,0.41000000000000003,0.6,False,False,0.505,0.41000000000000003,0.6,0.5054486508944049,0.40363513739111,0.6072621643977,0.7,0.23566180975049614,0.7659060965722665,16.495000751490142,225.30000000000004,1509,0.05256374529747806,0.6410256410256411,27,0.000940504389020482,0.4999026397560956,1.0000000000000002,1.7674031381090396,280406.36475689214,300,0.02084491384102279,4,0.00027793218454697053,0.6081081081081081,27.60000000000001,6.333134307160031,386,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_012_BTC.txt,0.5261988213581714,double,0.42,0.55,False,False,0.485,0.42,0.55,0.49134444928063303,0.422363832623566,0.5603250659377,0.7,0.3979557248860867,0.6193370647264194,2.27209986985309,32.50000000000003,1574,0.05482792253030514,0.567240280433397,5,0.00017416747944823743,0.4997499334916292,1.0,1.7668632459189155,279841.7193917368,288,0.020011117287381877,1,6.948304613674263e-05,0.5749128919860628,9.900000000000006,2.289482927972221,105,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_012_ETH.txt
13,2022-01-01T04:03:00+00:00,2023-11-27T04:00:00+00:00,2023-11-27T04:03:00+00:00,2024-01-26T04:00:00+00:00,2024-01-26T04:03:00+00:00,2024-02-25T04:00:00+00:00,332651,28769,14386,0.5395743751365182,double,0.42,0.58,False,False,0.5,0.42,0.58,0.5016345952683214,0.415090541217333,0.58817864931931,0.7,0.2839270086979166,0.7279200463676975,11.28320182812595,154.60000000000002,1487,0.05168758038166082,0.6147038801906058,18,0.0006256734679689944,0.48289732173577016,1.0,1.8073704600757894,289945.3787722222,831,0.057764493257333516,11,0.0007646322813846796,0.5951219512195122,57.30000000000001,7.878174434962698,262,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_013_BTC.txt,0.5213125135157648,double,0.42,0.5700000000000001,False,False,0.495,0.42,0.5700000000000001,0.4939033347841899,0.4207091497870698,0.5670975197813101,0.7,0.3426224199200634,0.6726807233098975,3.4760811490904073,49.800000000000026,1581,0.05495498626994334,0.5733333333333334,6,0.00020855782265633146,0.4826992833310459,1.0,1.8066292491670757,289411.9616047378,1131,0.07861810093146114,6,0.0004170721534825525,0.5537777777777778,-4.199999999999974,-0.48833982874626675,529,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_013_ETH.txt
14,2022-01-01T04:03:00+00:00,2023-12-27T04:00:00+00:00,2023-12-27T04:03:00+00:00,2024-02-25T04:00:00+00:00,2024-02-25T04:03:00+00:00,2024-03-26T04:00:00+00:00,347028,28778,14394,0.5297115097752734,double,0.42,0.56,False,False,0.49,0.42,0.56,0.4934903785804965,0.41852716236519993,0.568453594795793,0.7,0.29288657806730567,0.7323951315291005,9.138080639243672,179.20000000000005,3005,0.10442004308847036,0.589640094180962,32,0.0011119605254013482,0.4662880755512742,1.0,1.8475188743883217,299223.51189346524,585,0.04064193413922468,4,0.00027789356676392944,0.5628227194492255,7.200000000000011,1.166957060009415,303,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_014_BTC.txt,0.5242922582167713,double,0.46,0.59,False,False,0.525,0.46,0.59,0.5156710004352569,0.44821274493612095,0.583129255934393,0.7,0.39069690946161073,0.5994409582414073,0.15072150609622142,2.2000000000000366,1634,0.056779484328306346,0.5567200986436498,12,0.0004169851970255056,0.466055175849469,1.0,1.8465960830550543,298724.8276670733,49,0.0034041961928581352,0,0.0,0.5918367346938775,3.200000000000001,1.797821986061587,87,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_014_ETH.txt
15,2022-01-01T04:03:00+00:00,2024-01-26T04:00:00+00:00,2024-01-26T04:03:00+00:00,2024-03-26T04:00:00+00:00,2024-03-26T04:03:00+00:00,2024-04-25T04:00:00+00:00,361420,28780,14400,0.549040796676189,double,0.4,0.5700000000000001,False,False,0.48500000000000004,0.4,0.5700000000000001,0.487547113574149,0.40555814870956,0.569536078438738,0.7,0.3104195417864135,0.7481095943287787,7.343244907220113,101.30000000000004,1489,0.051737317581653924,0.5943012211668928,15,0.0005211952744961779,0.4501002421978415,1.0,1.8879305432235558,308236.0594557604,589,0.04090277777777778,1,6.944444444444444e-05,0.5799319727891157,25.70000000000002,4.156062461436573,290,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_015_BTC.txt,0.5340446689370703,double,0.43,0.55,False,False,0.49,0.43,0.55,0.4977013001305771,0.4354638234808363,0.5599387767803179,0.7,0.3681636563567016,0.6897924941389747,1.7420171347905495,34.40000000000006,2986,0.10375260597637248,0.5621639784946236,10,0.00034746351633078526,0.4498674847058489,1.0,1.8869542496402614,307755.3797390372,867,0.060208333333333336,1,6.944444444444444e-05,0.5750577367205543,30.300000000000026,4.033114057061729,357,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_015_ETH.txt
16,2022-01-01T04:03:00+00:00,2024-02-25T04:00:00+00:00,2024-02-25T04:03:00+00:00,2024-04-25T04:00:00+00:00,2024-04-25T04:03:00+00:00,2024-05-25T04:00:00+00:00,375806,28794,14396,0.5452506389423286,double,0.46,0.58,False,False,0.52,0.46,0.58,0.5102641340722447,0.443667444612868,0.5768608235316214,0.7,0.34786815897535284,0.650712704845323,4.5291029424702325,99.2000000000001,3688,0.12808223935542126,0.5707675557974959,14,0.00048621240536222824,0.43440940666830924,1.0,1.9289375980517303,316931.26730892545,1224,0.08502361767157544,8,0.0005557099194220616,0.5830592105263158,59.400000000000034,6.685707198513968,189,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_016_BTC.txt,0.5369449552091163,double,0.44,0.56,False,False,0.5,0.44,0.56,0.49931039003917316,0.4386391470442509,0.5599816330340954,0.7,0.34633030556028593,0.6880279045236307,5.417150260430566,99.40000000000006,2588,0.08987983607696048,0.576952822892498,2,6.94589150517469e-05,0.4341817117624086,1.0,1.9279265488936443,316466.9387053886,1597,0.11093359266462906,5,0.0003473186996387886,0.5603015075376885,13.10000000000003,1.2818687620661828,713,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_016_ETH.txt
17,2022-01-01T04:03:00+00:00,2024-03-26T04:00:00+00:00,2024-03-26T04:03:00+00:00,2024-05-25T04:00:00+00:00,2024-05-25T04:03:00+00:00,2024-06-24T04:00:00+00:00,390200,28796,14260,0.5501487401952296,double,0.43,0.58,False,False,0.505,0.43,0.58,0.5065792402216733,0.4341002333838604,0.5790582470594864,0.7,0.268935069099056,0.7085955100894582,9.01797135604902,170.70000000000005,2784,0.09668009445756355,0.5901047309498014,15,0.0005209056813446312,0.41914136055732076,0.9999999999999997,1.970251503677239,325349.70468141674,3002,0.21051893408134642,149,0.010448807854137447,0.5720294426919033,69.70000000000005,5.13138484031167,788,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_017_BTC.txt,0.5410004140871691,double,0.42,0.56,False,False,0.49,0.42,0.56,0.492793117011752,0.42559174411327527,0.5599944899102287,0.7,0.3563237798353235,0.688194319477765,4.682826388011933,66.10000000000004,1535,0.053306014724267256,0.5796344647519582,3,0.00010418113626892623,0.41890412130724913,1.0000000000000002,1.969136316694586,324912.1531506467,1334,0.0935483870967742,10,0.0007012622720897616,0.5687311178247734,30.400000000000027,3.2836790208009394,421,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_017_ETH.txt
18,2022-01-01T04:03:00+00:00,2024-04-25T04:00:00+00:00,2024-04-25T04:03:00+00:00,2024-06-24T04:00:00+00:00,2024-06-24T04:03:00+00:00,2024-07-24T04:00:00+00:00,404600,28656,14392,0.5396780928664848,double,0.38,0.5700000000000001,False,False,0.47500000000000003,0.38,0.5700000000000001,0.48447377206650205,0.3962300700151581,0.572717474117846,0.7,0.24330481976852392,0.7266869323908235,10.76031794151108,181.40000000000003,2326,0.08116973757677275,0.6036036036036037,106,0.0036990508096035736,0.4043115735211121,1.0,2.0119607937470323,333484.0346874328,741,0.05148693718732629,11,0.000764313507504169,0.5917808219178082,46.500000000000014,6.768962278633876,265,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_018_BTC.txt,0.5433076221784834,double,0.38,0.56,False,False,0.47000000000000003,0.38,0.56,0.4768379351035256,0.39367752323398253,0.5599983469730687,0.7,0.3630044743668707,0.6753782780448092,7.851964034962596,114.10000000000004,1658,0.05785873813512005,0.5946439440048692,15,0.0005234505862646566,0.40409126301149506,1.0,2.010864470671391,333057.9856036785,825,0.05732351306281267,3,0.0002084491384102279,0.5948905109489051,57.90000000000001,7.949418624071548,332,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_018_ETH.txt
19,2022-01-01T04:03:00+00:00,2024-05-25T04:00:00+00:00,2024-05-25T04:03:00+00:00,2024-07-24T04:00:00+00:00,2024-07-24T04:03:00+00:00,2024-08-23T04:00:00+00:00,418996,28652,14399,0.5225104159807542,double,0.34,0.56,False,False,0.45000000000000007,0.34,0.56,0.46034213161995063,0.3568690210045474,0.5638152422353538,0.7,0.2871617345134072,0.6939080238545905,10.472551265475396,182.80000000000007,2465,0.0860323886639676,0.6003365586874211,88,0.003071338824514868,0.3899576161031614,1.0000000000000002,2.0542956118429667,341307.95519436995,527,0.03659976387249114,3,0.00020834780193068963,0.5648854961832062,8.500000000000009,1.451091183897809,150,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_019_BTC.txt,0.5223817921434228,double,0.42,0.5700000000000001,False,False,0.495,0.42,0.5700000000000001,0.48955138053105773,0.4121032569701948,0.5669995040919207,0.7,0.332563857778564,0.6908599144658238,9.391967423038446,132.10000000000005,1559,0.054411559402484995,0.6034928848641656,13,0.00045372050816696913,0.38974308556621434,1.0,2.0531654655848666,340897.6176981515,550,0.03819709702062643,0,0.0,0.5581818181818182,2.6000000000000147,0.43260329783096135,482,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_019_ETH.txt
20,2022-01-01T04:03:00+00:00,2024-06-24T04:00:00+00:00,2024-06-24T04:03:00+00:00,2024-08-23T04:00:00+00:00,2024-08-23T04:03:00+00:00,2024-09-22T04:00:00+00:00,433256,28791,14394,0.5339562759464886,double,0.45,0.56,False,False,0.505,0.45,0.56,0.4916026394859852,0.4220607063013643,0.5611445726706061,0.7,0.37857881061965315,0.6159799325711672,6.7790891139408,114.70000000000005,2228,0.07738529401549095,0.5849569551427277,21,0.0007293946024799417,0.3763951793100645,1.0,2.099093460568693,348626.9301862326,686,0.047658746700013896,6,0.00041684035014589413,0.5514705882352942,-5.599999999999989,-0.8368121057577633,108,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_020_BTC.txt,0.5355774560450525,double,0.44,0.5700000000000001,False,False,0.505,0.44,0.5700000000000001,0.5003654141593173,0.43163097709105847,0.5690998512275762,0.7,0.3814190973049751,0.6729876435316805,7.19480409598526,105.20000000000003,1657,0.057552707443298254,0.5910465819721719,4,0.0001389323052342746,0.3759650718531911,1.0,2.0966948226485163,348363.8934268109,634,0.044046130332082815,2,0.00013894678338196472,0.5806962025316456,28.400000000000013,4.431618111578969,264,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_020_ETH.txt
21,2022-01-01T04:03:00+00:00,2024-07-24T04:00:00+00:00,2024-07-24T04:03:00+00:00,2024-09-22T04:00:00+00:00,2024-09-22T04:03:00+00:00,2024-10-22T04:00:00+00:00,447648,28793,14369,0.5436156808186107,double,0.46,0.56,False,False,0.51,0.46,0.56,0.5044807918457956,0.4486182118904093,0.5603433718011819,0.7,0.36564618042461566,0.6245163922385374,1.4198076430195175,23.400000000000038,2088,0.07251762581182926,0.5622586872586872,16,0.0005556906192477338,0.36286014906244257,1.0,2.1422452530540066,355821.0198093226,1027,0.07147331059920663,24,0.0016702623703806806,0.584247258225324,49.40000000000002,6.12876291544524,76,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_021_BTC.txt,0.5385688488787328,double,0.45,0.56,False,False,0.505,0.45,0.56,0.5036096242477952,0.44448929312731755,0.562729955368273,0.7,0.40703587686848164,0.6146592044089356,3.244850616541586,51.30000000000004,1917,0.0665786823186191,0.5705329153605015,3,0.0001041919911089501,0.3624340577738317,1.0,2.1397297052796014,355618.9163025636,713,0.04962071125339272,2,0.00013918853086505672,0.5808720112517581,32.20000000000002,4.74157817054227,155,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_021_ETH.txt
22,2022-01-01T04:03:00+00:00,2024-08-23T04:00:00+00:00,2024-08-23T04:03:00+00:00,2024-10-22T04:00:00+00:00,2024-10-22T04:03:00+00:00,2024-11-21T04:00:00+00:00,462047,28763,14368,0.5237019567696142,double,0.43,0.59,False,False,0.51,0.43,0.59,0.5083442375537387,0.4355854635671228,0.5811030115403546,0.7,0.3156048635694487,0.7042117329648312,7.549419635851196,113.10000000000004,1767,0.06143309112401349,0.5926352128883774,29,0.0010082397524597572,0.3496965647901625,0.9999999999999998,2.185563715883726,362765.3444213261,728,0.05066815144766147,5,0.0003479955456570156,0.5753803596127247,25.30000000000002,3.6898098882243753,221,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_022_BTC.txt,0.5276337627450889,double,0.43,0.56,False,False,0.495,0.43,0.56,0.4975828872743386,0.43434678793819526,0.5608189866104819,0.7,0.38923798365961715,0.6534256280168462,1.600759977525367,22.900000000000038,1571,0.054618781072906165,0.5639386189258312,7,0.0002433682161109759,0.3492950090505692,0.9999999999999999,2.183054038229654,362610.7691762854,552,0.03841870824053452,1,6.959910913140311e-05,0.5571687840290381,1.5000000000000089,0.24956121248675708,237,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_022_ETH.txt
23,2022-01-01T04:03:00+00:00,2024-09-22T04:00:00+00:00,2024-09-22T04:03:00+00:00,2024-11-21T04:00:00+00:00,2024-11-21T04:03:00+00:00,2024-12-21T04:00:00+00:00,476441,28737,14400,0.52567901850465,double,0.42,0.58,False,False,0.5,0.42,0.58,0.5025032712661216,0.42467563907013683,0.5803309034621064,0.7,0.3135295325276086,0.66930282440889,9.07945381217091,133.70000000000005,1714,0.05964436092841981,0.6004742145820984,27,0.0009395552771688068,0.33696072177607334,0.9999999999999999,2.229428646260534,369432.92622965545,536,0.03722222222222222,3,0.00020833333333333335,0.5703564727954972,13.900000000000011,2.355697677850654,353,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_023_BTC.txt,0.5251136343939921,double,0.44,0.5700000000000001,False,False,0.505,0.44,0.5700000000000001,0.5027748661823016,0.4383040363814586,0.5672456959831447,0.7,0.371366910936057,0.6931300382507727,5.236704661512543,79.60000000000005,1787,0.06218464001113547,0.5805727119595733,6,0.00020879006159306817,0.33659093164810694,1.0,2.226982008860046,369314.5236707528,701,0.04868055555555555,2,0.0001388888888888889,0.5336194563662375,-27.79999999999999,-4.080485915724785,525,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_023_ETH.txt
24,2022-01-01T04:03:00+00:00,2024-10-22T04:00:00+00:00,2024-10-22T04:03:00+00:00,2024-12-21T04:00:00+00:00,2024-12-21T04:03:00+00:00,2025-01-20T04:00:00+00:00,490810,28768,14396,0.5362286066388302,double,0.45,0.56,False,False,0.505,0.45,0.56,0.5042509813798365,0.4424026917210411,0.5660992710386319,0.7,0.3850145919623995,0.6236327977119301,1.3046513929224814,18.60000000000003,1560,0.05422691879866518,0.5625,8,0.00027808676307007786,0.32466595297063444,0.9999999999999999,2.274014534957909,375808.7853051102,580,0.04028896915809947,6,0.0004167824395665463,0.5958188153310104,41.000000000000014,6.736150170648893,108,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_024_BTC.txt,0.5299089210028569,double,0.45,0.58,False,False,0.515,0.45,0.58,0.5113324598546906,0.4464912109144376,0.5761737087949435,0.7,0.36064105348751546,0.6558044512073847,-0.6867486871188055,-10.899999999999956,1918,0.06667130144605117,0.5524804177545692,3,0.0001042825361512792,0.32431123155168357,1.0,2.2715300069217093,375731.01418266684,1039,0.07217282578494026,3,0.00020839121978327314,0.5521235521235521,-6.699999999999978,-0.8112203619826962,485,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_024_ETH.txt
25,2022-01-01T04:03:00+00:00,2024-11-21T04:00:00+00:00,2024-11-21T04:03:00+00:00,2025-01-20T04:00:00+00:00,2025-01-20T04:03:00+00:00,2025-02-19T04:00:00+00:00,505178,28796,14389,0.5393854955935143,double,0.44,0.63,False,False,0.535,0.44,0.63,0.5257752944139509,0.4407208075163124,0.6108297813115895,0.7,0.30865796827012654,0.6851265782502394,5.168066302392553,79.70000000000005,1840,0.06389776357827476,0.580098414434117,11,0.00038199749965272953,0.3127139739578252,1.0,2.3187075108692228,381938.9366350489,1000,0.06949753283758427,5,0.00034748766418792135,0.5658291457286432,17.900000000000013,2.218869570102914,722,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_025_BTC.txt,0.5339826664001992,double,0.47000000000000003,0.55,False,False,0.51,0.47000000000000003,0.55,0.5103997379564071,0.4629473632743313,0.5578521126384831,0.7,0.43437027553270424,0.5749184715344626,-3.1103060758333676,-54.39999999999996,2317,0.08046256424503404,0.5425853869433636,4,0.00013890818169190166,0.3123812088415679,1.0,2.316240128408965,381897.641957578,372,0.025853082215581347,0,0.0,0.6182795698924731,42.000000000000014,8.619436381154204,75,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_025_ETH.txt
26,2022-01-01T04:03:00+00:00,2024-12-21T04:00:00+00:00,2024-12-21T04:03:00+00:00,2025-02-19T04:00:00+00:00,2025-02-19T04:03:00+00:00,2025-03-21T04:00:00+00:00,519578,28785,14388,0.5293817643760511,double,0.44,0.58,False,False,0.51,0.44,0.58,0.5147325883241853,0.44021624225489375,0.5892489343934768,0.7,0.3497152736293968,0.648731180920331,6.916246009083914,111.70000000000005,2024,0.07031439986103874,0.5866865375062096,11,0.0003821434775056453,0.30110221153561334,1.0000000000000002,2.36349570251806,387843.2443210847,798,0.05546288573811509,8,0.0005560189046427579,0.5481012658227848,-11.399999999999984,-1.5795979767099015,372,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_026_BTC.txt,0.5426363307591,double,0.45,0.6,False,False,0.525,0.45,0.6,0.5206199213869221,0.4538842089822994,0.5873556337915449,0.7,0.38600207660539704,0.6892839508205132,3.9043671444572423,53.50000000000004,1445,0.050199756817787045,0.5762829403606102,3,0.00010422094841063054,0.3008060702801832,1.0,2.3611711477398742,387824.1702533258,1099,0.07638309702529886,1,6.950236308034473e-05,0.5856102003642987,59.300000000000026,7.030332902812453,352,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_026_ETH.txt
27,2022-01-01T04:03:00+00:00,2025-01-20T04:00:00+00:00,2025-01-20T04:03:00+00:00,2025-03-21T04:00:00+00:00,2025-03-21T04:03:00+00:00,2025-04-20T04:00:00+00:00,533974,28777,14373,0.5351693469605434,double,0.43,0.56,False,False,0.495,0.43,0.56,0.5009197764972556,0.43306487267646815,0.5687746803180431,0.7,0.3089804719065569,0.7055408684487073,6.609013905146168,124.90000000000006,2765,0.09608367793724154,0.5810909090909091,15,0.0005212496090627933,0.28987915413813425,1.0,2.4087961504638145,393496.4544071836,1431,0.09956167814652474,22,0.0015306477422945802,0.5755855216465579,48.60000000000003,5.076557565921433,476,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_027_BTC.txt,0.5341718741193107,double,0.45,0.5700000000000001,False,False,0.51,0.45,0.5700000000000001,0.5131859764160767,0.4511652626946898,0.5752066901374635,0.7,0.39287450520686673,0.7372549112241642,7.029530486718362,119.40000000000006,2226,0.07735344198491852,0.5853548966756514,0,0.0,0.2896011279286907,1.0,2.406485848210357,393504.156184159,1107,0.07701941139636818,1,6.957489737702637e-05,0.5886075949367089,65.70000000000002,7.770471304535618,506,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_027_ETH.txt
28,2022-01-01T04:03:00+00:00,2025-02-19T04:00:00+00:00,2025-02-19T04:03:00+00:00,2025-04-20T04:00:00+00:00,2025-04-20T04:03:00+00:00,2025-05-20T04:00:00+00:00,548363,28761,14375,0.5379299909229913,double,0.42,0.58,False,False,0.5,0.42,0.58,0.5002759329491767,0.42391946180294043,0.5766324040954129,0.7,0.30043321621896124,0.70766961669722,4.685553142251992,64.00000000000004,1457,0.05065887834219951,0.58107167710508,20,0.0006953861131393206,0.27901885167842244,1.0,2.4544760655769298,398912.72166119685,1141,0.07937391304347827,13,0.0009043478260869566,0.5842198581560284,56.90000000000003,6.655844176039372,528,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_028_BTC.txt,0.535215285039245,double,0.43,0.5700000000000001,False,False,0.5,0.43,0.5700000000000001,0.5039557929248231,0.43634957880840697,0.571562007041239,0.7,0.3388500097315464,0.8024288174432431,10.24760307208042,151.00000000000003,1694,0.05889920378290046,0.6052009456264775,2,6.953861131393206e-05,0.2787617144468694,1.0,2.452214077984984,398941.80109629914,903,0.06281739130434782,2,0.00013913043478260868,0.5782463928967814,36.60000000000002,4.78379601228414,1017,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_028_ETH.txt
29,2022-01-01T04:03:00+00:00,2025-03-21T04:00:00+00:00,2025-03-21T04:03:00+00:00,2025-05-20T04:00:00+00:00,2025-05-20T04:03:00+00:00,2025-06-19T04:00:00+00:00,562751,28748,14380,0.5429919781592714,double,0.43,0.5700000000000001,False,False,0.5,0.43,0.5700000000000001,0.500082779884753,0.42817583854088215,0.5719897212286239,0.7,0.33073967489490363,0.6634977411335561,8.673868483851948,135.10000000000002,1916,0.06664811465145401,0.596388741370154,33,0.0011479059412828718,0.26851527785152474,1.0,2.5005552048825663,404093.5668483386,937,0.06515994436717663,17,0.0011821974965229485,0.6010869565217392,73.70000000000003,9.582063293283566,298,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_029_BTC.txt,0.5352773945418552,double,0.44,0.58,False,False,0.51,0.44,0.58,0.508186737877447,0.43890487364252206,0.5774686021123717,0.7,0.3530725398441565,0.7556595787796557,7.056952380979668,114.00000000000003,2019,0.07023097258939752,0.587010411502231,2,6.957005704744678e-05,0.26827843493696907,1.0,2.498349599348794,404142.09984318615,1112,0.07732962447844229,1,6.954102920723227e-05,0.5742574257425742,37.300000000000026,4.385669508030592,1056,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_029_ETH.txt
