fold,fit_train_start,fit_train_end,validation_start,validation_end,test_start,test_end,fit_train_rows,validation_rows,test_rows,SOL_auc,SOL_threshold_mode,SOL_raw_short_threshold,SOL_raw_long_threshold,SOL_short_threshold_was_extreme,SOL_long_threshold_was_extreme,SOL_adjusted_threshold,SOL_adjusted_short_threshold,SOL_adjusted_long_threshold,SOL_threshold,SOL_short_threshold,SOL_long_threshold,SOL_threshold_ema_alpha,SOL_validation_probability_min,SOL_validation_probability_max,SOL_validation_threshold_sharpe,SOL_validation_threshold_pnl,SOL_validation_threshold_trades,SOL_validation_threshold_trade_fraction,SOL_validation_threshold_win_rate,SOL_validation_threshold_tie_trades,SOL_validation_threshold_tie_trade_fraction,SOL_fit_weight_min,SOL_fit_weight_mean,SOL_fit_weight_max,SOL_fit_weight_effective_rows,SOL_test_trades,SOL_test_trade_fraction,SOL_test_tie_trades,SOL_test_tie_trade_fraction,SOL_win_rate,SOL_pnl,SOL_test_sharpe,SOL_best_iteration,SOL_model_path
30,2022-01-01T04:15:00+00:00,2025-04-20T04:00:00+00:00,2025-04-20T04:15:00+00:00,2025-06-19T04:00:00+00:00,2025-06-19T04:15:00+00:00,2025-07-19T04:00:00+00:00,113211,5760,2880,0.5364915522234264,double,0.41000000000000003,0.56,False,False,0.48500000000000004,0.41000000000000003,0.56,0.48986082019842353,0.41597113134569574,0.5637505090511513,0.7,0.35836558118838385,0.6665572327547894,4.46613453020288,37.30000000000001,545,0.09461805555555555,0.5944444444444444,5,0.0008680555555555555,0.254100361173431,0.9999999999999999,2.5050018264590026,78574.7394811109,241,0.08368055555555555,1,0.00034722222222222224,0.6,19.10000000000001,4.857522200550536,551,results/sol_btc_external_15m/models/fold_030_SOL.txt
31,2022-01-01T04:15:00+00:00,2025-05-20T04:00:00+00:00,2025-05-20T04:15:00+00:00,2025-07-19T04:00:00+00:00,2025-07-19T04:15:00+00:00,2025-08-18T04:00:00+00:00,116091,5760,2880,0.5352275474102886,double,0.43,0.58,False,False,0.505,0.43,0.58,0.500458246059527,0.4257913394037087,0.5751251527153454,0.7,0.3917247747362981,0.6267602417297514,1.89870430091917,12.200000000000006,319,0.05538194444444444,0.5772870662460567,2,0.00034722222222222224,0.24433864461032131,1.0000000000000002,2.5499820091498697,79624.07253505063,151,0.05243055555555556,3,0.0010416666666666667,0.6216216216216216,17.3,5.6308512222716915,312,results/sol_btc_external_15m/models/fold_031_SOL.txt
32,2022-01-01T04:15:00+00:00,2025-06-19T04:00:00+00:00,2025-06-19T04:15:00+00:00,2025-08-18T04:00:00+00:00,2025-08-18T04:15:00+00:00,2025-09-17T04:00:00+00:00,118971,5760,2879,0.5338044758539457,double,0.44,0.55,False,False,0.495,0.44,0.55,0.49663747381785817,0.43573740182111265,0.5575375458146037,0.7,0.41785428111225115,0.5930020757083898,5.524032273857607,39.60000000000001,405,0.0703125,0.6109725685785536,4,0.0006944444444444445,0.23490218394326726,1.0,2.5952201342942023,80632.43860672026,132,0.04584925321292115,1,0.0003473428273706148,0.5725190839694656,3.900000000000002,1.3339018275404597,164,results/sol_btc_external_15m/models/fold_032_SOL.txt
33,2022-01-01T04:15:00+00:00,2025-07-19T04:00:00+00:00,2025-07-19T04:15:00+00:00,2025-09-17T04:00:00+00:00,2025-09-17T04:15:00+00:00,2025-10-17T04:00:00+00:00,121851,5759,2880,0.5217947719200771,double,0.0,0.55,True,False,0.48006031063031585,0.4101206212606316,0.55,0.4850334595865785,0.4178056554287759,0.5522612637443811,0.7,0.4101206212606316,0.6086516387699855,1.6051978082915241,10.800000000000008,351,0.060948081264108354,0.5734870317002881,4,0.0006945650286508074,0.22583476621271797,0.9999999999999998,2.641314643668926,81593.00268870279,206,0.07152777777777777,0,0.0,0.5533980582524272,-0.79999999999999,-0.2172257718178699,165,results/sol_btc_external_15m/models/fold_033_SOL.txt
34,2022-01-01T04:15:00+00:00,2025-08-18T04:00:00+00:00,2025-08-18T04:15:00+00:00,2025-10-17T04:00:00+00:00,2025-10-17T04:15:00+00:00,2025-11-16T04:00:00+00:00,124731,5759,2880,0.5254641886449343,double,0.47000000000000003,0.55,False,False,0.51,0.47000000000000003,0.55,0.5025100378759735,0.4543416966286328,0.5506783791233143,0.7,0.45240008076389315,0.5800590745682106,0.4925709049210966,3.700000000000011,431,0.0748393818371245,0.5604651162790698,1,0.00017364125716270185,0.21703512604582428,1.0000000000000002,2.6872096976523534,82517.27170169496,55,0.019097222222222224,0,0.0,0.5818181818181818,2.6000000000000014,1.3751519736565994,76,results/sol_btc_external_15m/models/fold_034_SOL.txt
35,2022-01-01T04:15:00+00:00,2025-09-17T04:00:00+00:00,2025-09-17T04:15:00+00:00,2025-11-16T04:00:00+00:00,2025-11-16T04:15:00+00:00,2025-12-16T04:00:00+00:00,127610,5760,2880,0.5393163351850649,double,0.45,0.53,False,False,0.49,0.45,0.53,0.49375301136279204,0.45130250898858987,0.5362035137369943,0.7,0.4431623112341707,0.5810719498587782,1.6178702332372585,15.700000000000014,725,0.12586805555555555,0.5680555555555555,5,0.0008680555555555555,0.20854732570351886,1.0,2.733495395653441,83402.3509641383,177,0.06145833333333333,1,0.00034722222222222224,0.45454545454545453,-32.099999999999994,-9.237940688407845,89,results/sol_btc_external_15m/models/fold_035_SOL.txt
36,2022-01-01T04:15:00+00:00,2025-10-17T04:00:00+00:00,2025-10-17T04:15:00+00:00,2025-12-16T04:00:00+00:00,2025-12-16T04:15:00+00:00,2026-01-15T04:00:00+00:00,130490,5760,2878,0.5331591145153565,double,0.47000000000000003,0.5700000000000001,False,False,0.52,0.47000000000000003,0.5700000000000001,0.5121259034088377,0.46439075269657704,0.5598610541210983,0.7,0.43909957765677643,0.5887024039711655,1.969219102543972,17.00000000000001,577,0.10017361111111112,0.5726795096322241,6,0.0010416666666666667,0.20037806982091053,1.0,2.7803924588765874,84247.55189967553,132,0.04586518415566365,1,0.00034746351633078526,0.5343511450381679,-5.099999999999997,-1.7297628156651035,114,results/sol_btc_external_15m/models/fold_036_SOL.txt
37,2022-01-01T04:15:00+00:00,2025-11-16T04:00:00+00:00,2025-11-16T04:15:00+00:00,2026-01-15T04:00:00+00:00,2026-01-15T04:15:00+00:00,2026-02-14T04:00:00+00:00,133370,5758,2880,0.545906783425029,double,0.46,0.63,False,False,0.545,0.46,0.63,0.5351377710226513,0.46131722580897316,0.6089583162363295,0.7,0.4085991670939188,0.6297785812773856,3.0311445496399334,24.00000000000001,489,0.08492532129211532,0.5838509316770186,6,0.0010420284821118443,0.1924959221016246,1.0,2.8276108417412398,85055.47814627139,271,0.09409722222222222,2,0.0006944444444444445,0.5687732342007435,6.200000000000007,1.4783240250923397,270,results/sol_btc_external_15m/models/fold_037_SOL.txt
38,2022-01-01T04:15:00+00:00,2025-12-16T04:00:00+00:00,2025-12-16T04:15:00+00:00,2026-02-14T04:00:00+00:00,2026-02-14T04:15:00+00:00,2026-03-16T04:00:00+00:00,136250,5758,2880,0.538122102913961,double,0.46,0.5700000000000001,False,False,0.515,0.46,0.5700000000000001,0.5210413313067954,0.46039516774269196,0.5816874948708989,0.7,0.4051922515688892,0.6346893461811166,3.9592622789153666,34.90000000000001,605,0.10507120527961097,0.5883333333333334,5,0.0008683570684265369,0.18491253347890496,1.0,2.87545545939177,85824.88809041525,359,0.12465277777777778,9,0.003125,0.5628571428571428,3.70000000000001,0.7722918320297326,270,results/sol_btc_external_15m/models/fold_038_SOL.txt
39,2022-01-01T04:15:00+00:00,2026-01-15T04:00:00+00:00,2026-01-15T04:15:00+00:00,2026-03-16T04:00:00+00:00,2026-03-16T04:15:00+00:00,2026-04-15T04:00:00+00:00,139128,5760,2879,0.5621528930416702,double,0.45,0.5700000000000001,False,False,0.51,0.45,0.5700000000000001,0.5133123993920387,0.4531185503228076,0.5735062484612697,0.7,0.3941492190268652,0.6091874214274344,5.337119799213673,45.60000000000001,579,0.10052083333333334,0.6014109347442681,12,0.0020833333333333333,0.17762192220715878,1.0,2.9240113426129186,86554.3158970703,266,0.09239319208058354,4,0.0013893713094824591,0.5763358778625954,9.400000000000006,2.2753509272549404,330,results/sol_btc_external_15m/models/fold_039_SOL.txt
40,2022-01-01T04:15:00+00:00,2026-02-14T04:00:00+00:00,2026-02-14T04:15:00+00:00,2026-04-15T04:00:00+00:00,2026-04-15T04:15:00+00:00,2026-05-15T04:00:00+00:00,142008,5759,2878,0.5450069931487412,double,0.39,0.55,False,False,0.47000000000000003,0.39,0.55,0.48299371981761163,0.40893556509684226,0.557051874538381,0.7,0.3601958951382423,0.6093556566970457,6.203169105086602,47.90000000000002,475,0.08247959715228338,0.6137339055793991,9,0.0015627713144643167,0.17059566068895227,1.0,2.9729845954540166,87246.69731345761,196,0.06810284920083391,7,0.002432244614315497,0.6296296296296297,24.500000000000007,7.073249350751926,329,results/sol_btc_external_15m/models/fold_040_SOL.txt
41,2022-01-01T04:15:00+00:00,2026-03-16T04:00:00+00:00,2026-03-16T04:15:00+00:00,2026-05-15T04:00:00+00:00,2026-05-15T04:15:00+00:00,2026-06-08T06:15:00+00:00,144888,5757,1826,0.5258785893413316,double,0.41000000000000003,0.55,False,False,0.48000000000000004,0.41000000000000003,0.55,0.48089811594528353,0.4096806695290527,0.5521155623615144,0.7,0.37632084611726624,0.6179026390975166,8.21565466946645,65.10000000000001,510,0.08858780614903596,0.6303030303030303,15,0.0026055237102657635,0.16382924413989944,1.0,3.0224442418695383,87902.45495526926,148,0.08105147864184009,6,0.0032858707557502738,0.5352112676056338,-5.8,-2.371886345332531,277,results/sol_btc_external_15m/models/fold_041_SOL.txt
