fold,fit_train_start,fit_train_end,validation_start,validation_end,test_start,test_end,fit_train_rows,validation_rows,test_rows,SOL_auc,SOL_threshold_mode,SOL_raw_short_threshold,SOL_raw_long_threshold,SOL_short_threshold_was_extreme,SOL_long_threshold_was_extreme,SOL_adjusted_threshold,SOL_adjusted_short_threshold,SOL_adjusted_long_threshold,SOL_threshold,SOL_short_threshold,SOL_long_threshold,SOL_threshold_ema_alpha,SOL_validation_probability_min,SOL_validation_probability_max,SOL_validation_threshold_sharpe,SOL_validation_threshold_pnl,SOL_validation_threshold_trades,SOL_validation_threshold_trade_fraction,SOL_validation_threshold_win_rate,SOL_validation_threshold_tie_trades,SOL_validation_threshold_tie_trade_fraction,SOL_fit_weight_min,SOL_fit_weight_mean,SOL_fit_weight_max,SOL_fit_weight_effective_rows,SOL_test_trades,SOL_test_trade_fraction,SOL_test_tie_trades,SOL_test_tie_trade_fraction,SOL_win_rate,SOL_pnl,SOL_test_sharpe,SOL_best_iteration,SOL_model_path
10,2022-01-01T04:15:00+00:00,2023-08-29T02:30:00+00:00,2023-08-29T06:45:00+00:00,2023-10-28T04:00:00+00:00,2023-10-28T04:15:00+00:00,2023-11-27T04:00:00+00:00,56269,5109,2880,0.5469194407125442,double,0.42,0.5700000000000001,False,False,0.495,0.42,0.5700000000000001,0.5004733357560001,0.423978095946,0.576968575566,0.7,0.3620682650028606,0.6684109980093027,4.832490483456644,36.500000000000014,544,0.10647876296731258,0.6012024048096193,45,0.008807985907222548,0.5402472976370198,1.0,1.704119291736116,48488.66593515126,213,0.07395833333333333,1,0.00034722222222222224,0.5943396226415094,14.700000000000008,3.9721245514814103,260,results/sol_btc_external_15m/models/fold_010_SOL.txt
11,2022-01-01T04:15:00+00:00,2023-09-28T03:45:00+00:00,2023-09-28T08:00:00+00:00,2023-11-27T04:00:00+00:00,2023-11-27T04:15:00+00:00,2023-12-27T04:00:00+00:00,58610,5648,2880,0.5411818825611118,double,0.43,0.56,False,False,0.495,0.43,0.56,0.4966420007268,0.4281934287838,0.5650905726698,0.7,0.3972345305930076,0.5961364134287129,7.343857355505498,45.60000000000001,327,0.05789660056657224,0.639871382636656,16,0.0028328611898017,0.5248596497014499,0.9999999999999999,1.7527788801362822,50004.22130534924,88,0.030555555555555555,0,0.0,0.5795454545454546,3.800000000000001,1.5881087675637553,138,results/sol_btc_external_15m/models/fold_011_SOL.txt
12,2022-01-01T04:15:00+00:00,2023-10-28T04:00:00+00:00,2023-10-28T04:15:00+00:00,2023-12-27T04:00:00+00:00,2023-12-27T04:15:00+00:00,2024-01-26T04:00:00+00:00,61378,5760,2880,0.5376524700016356,double,0.43,0.5700000000000001,False,False,0.5,0.43,0.5700000000000001,0.49899260021804004,0.42945802863514004,0.56852717180094,0.7,0.3917840925379178,0.6123800226841183,5.3700997569043345,35.00000000000001,334,0.05798611111111111,0.6144578313253012,2,0.00034722222222222224,0.5065609070626171,1.0,1.7909150649922938,51757.30326846795,198,0.06875,2,0.0006944444444444445,0.5612244897959183,1.8000000000000047,0.5019244127277822,202,results/sol_btc_external_15m/models/fold_012_SOL.txt
13,2022-01-01T04:15:00+00:00,2023-11-27T04:00:00+00:00,2023-11-27T04:15:00+00:00,2024-01-26T04:00:00+00:00,2024-01-26T04:15:00+00:00,2024-02-25T04:00:00+00:00,64258,5760,2880,0.54,double,0.0,0.55,True,False,0.47946581943474664,0.4089316388694933,0.55,0.4853238536697347,0.41508955579918727,0.5555581515402821,0.7,0.4089316388694933,0.605941819774296,3.5800711510792667,28.200000000000017,483,0.08385416666666666,0.5887265135699373,4,0.0006944444444444445,0.4875649527958447,1.0000000000000002,1.8248114207658777,53609.553627408546,168,0.058333333333333334,2,0.0006944444444444445,0.6204819277108434,19.200000000000006,5.899747982794973,148,results/sol_btc_external_15m/models/fold_013_SOL.txt
14,2022-01-01T04:15:00+00:00,2023-12-27T04:00:00+00:00,2023-12-27T04:15:00+00:00,2024-02-25T04:00:00+00:00,2024-02-25T04:15:00+00:00,2024-03-26T04:00:00+00:00,67138,5760,2880,0.5494400368976646,double,0.42,0.56,False,False,0.49,0.42,0.56,0.48859715610092047,0.4185268667397562,0.5586674454620847,0.7,0.3720133206483964,0.647268965327124,5.464399650605714,50.40000000000001,666,0.115625,0.5984848484848485,6,0.0010416666666666667,0.4692384252942635,1.0000000000000002,1.8591792789137864,55439.39392742882,287,0.09965277777777778,2,0.0006944444444444445,0.5859649122807018,15.400000000000007,3.5819202287392637,307,results/sol_btc_external_15m/models/fold_014_SOL.txt
15,2022-01-01T04:15:00+00:00,2024-01-26T04:00:00+00:00,2024-01-26T04:15:00+00:00,2024-03-26T04:00:00+00:00,2024-03-26T04:15:00+00:00,2024-04-25T04:00:00+00:00,70018,5760,2880,0.5365478750710403,double,0.42,0.54,False,False,0.48,0.42,0.54,0.48257914683027614,0.41955806002192686,0.5456002336386254,0.7,0.3842943932465974,0.6456216646442713,5.70907399088351,58.000000000000014,806,0.13993055555555556,0.59625,6,0.0010416666666666667,0.4517619088865741,0.9999999999999998,1.894870361970647,57220.40572072323,418,0.1451388888888889,1,0.00034722222222222224,0.5323741007194245,-17.49999999999999,-3.3246353523445453,243,results/sol_btc_external_15m/models/fold_015_SOL.txt
16,2022-01-01T04:15:00+00:00,2024-02-25T04:00:00+00:00,2024-02-25T04:15:00+00:00,2024-04-25T04:00:00+00:00,2024-04-25T04:15:00+00:00,2024-05-25T04:00:00+00:00,72898,5760,2880,0.553101667151885,double,0.42,0.5700000000000001,False,False,0.495,0.42,0.5700000000000001,0.49127374404908286,0.41986741800657806,0.5626800700915877,0.7,0.3904998380193598,0.6442929490737483,3.2648889979483555,22.10000000000001,355,0.06163194444444445,0.5903954802259888,1,0.00017361111111111112,0.43494810027380787,1.0000000000000002,1.931299032275812,58961.866172553666,218,0.07569444444444444,2,0.0006944444444444445,0.6018518518518519,17.800000000000008,4.77359718576041,235,results/sol_btc_external_15m/models/fold_016_SOL.txt
17,2022-01-01T04:15:00+00:00,2024-03-26T04:00:00+00:00,2024-03-26T04:15:00+00:00,2024-05-25T04:00:00+00:00,2024-05-25T04:15:00+00:00,2024-06-24T04:00:00+00:00,75778,5760,2880,0.547075711899268,double,0.43,0.59,False,False,0.51,0.43,0.59,0.5043821232147249,0.4269602254019734,0.5818040210274763,0.7,0.4006310672807572,0.6597827617496306,4.5656121669656065,27.80000000000001,289,0.05017361111111111,0.6089965397923875,0,0.0,0.41868185096939087,1.0000000000000002,1.9680603485041779,60670.66131083498,133,0.04618055555555556,1,0.00034722222222222224,0.5303030303030303,-6.099999999999997,-2.0585458260934897,258,results/sol_btc_external_15m/models/fold_017_SOL.txt
18,2022-01-01T04:15:00+00:00,2024-04-25T04:00:00+00:00,2024-04-25T04:15:00+00:00,2024-06-24T04:00:00+00:00,2024-06-24T04:15:00+00:00,2024-07-24T04:00:00+00:00,78658,5760,2880,0.5408428298339094,double,0.45,0.64,False,False,0.545,0.45,0.64,0.5328146369644174,0.44308806762059205,0.6225412063082428,0.7,0.3724804237591842,0.7166223626378692,6.278275703693578,61.30000000000001,746,0.1295138888888889,0.601889338731444,5,0.0008680555555555555,0.4030813744308542,1.0,2.005807256609865,62330.59129811446,380,0.13194444444444445,2,0.0006944444444444445,0.5529100529100529,-1.9999999999999911,-0.4008462202945074,603,results/sol_btc_external_15m/models/fold_018_SOL.txt
19,2022-01-01T04:15:00+00:00,2024-05-25T04:00:00+00:00,2024-05-25T04:15:00+00:00,2024-07-24T04:00:00+00:00,2024-07-24T04:15:00+00:00,2024-08-23T04:00:00+00:00,81538,5760,2880,0.5364411824601003,double,0.47000000000000003,0.5700000000000001,False,False,0.52,0.47000000000000003,0.5700000000000001,0.5238443910893252,0.46192642028617764,0.5857623618924729,0.7,0.4174176861286109,0.6241461558805989,4.100974093932361,54.80000000000003,1378,0.23923611111111112,0.5779883381924198,6,0.0010416666666666667,0.38801724730557346,1.0,2.0440414067597543,63949.95802332795,466,0.16180555555555556,7,0.0024305555555555556,0.5337690631808278,-18.699999999999992,-3.386977034338781,171,results/sol_btc_external_15m/models/fold_019_SOL.txt
